name,iata_code
Utirik Airport,UTK
Ocean Reef Club Airport,OCA
Pilot Station Airport,PQS
Crested Butte Airpark,CSE
LBJ Ranch Airport,JCY
Loring Seaplane Base,WLR
Nunapitchuk Airport,NUP
Port Alice Seaplane Base,PTC
Icy Bay Airport,ICY
Port Protection Seaplane Base,PPV
Kalakaket Creek AS Airport,KKK
Dunsmuir Muni-Mott Airport,MHS
Chase Field Industrial Airport,NIR
Grand Canyon Bar Ten Airstrip,GCT
Ellamar Seaplane Base,ELW
Lime Village Airport,LVD
Hog River Airport,HGZ
Ed-Air Airport,OTN
Telida Airport,TLF
Eagle Air Park,BZT
Entrance Island Seaplane Base,HBH
False Island Seaplane Base,FAK
Blakely Island Airport,BYW
Drift River Airport,DRF
Rinkenberger Restricted Landing Area,BDF
Roy Otten Memorial Airfield,VRS
Golden Horn Lodge Seaplane Base,GDH
Atmautluak Airport,ATT
Livengood Camp Airport,LIV
Pedro Bay Airport,PDB
Ouzinkie Airport,KOZ
Tununak Airport,TNK
Hyder Seaplane Base,WHD
Minto Al Wright Airport,MNT
Tokeen Seaplane Base,TKI
Aleknagik / New Airport,WKK
Ketchikan Harbor Seaplane Base,WFB
Naknek Airport,NNK
Lake Brooks Seaplane Base,BKF
Southern Seaplane Airport,BCS
Catalina Air-Sea Terminal Heliport,SPQ
East 34th Street Heliport,TSS
New York Skyports Inc Seaplane Base,NYS
Earl Henry Airport,BWL
Yes Bay Lodge Seaplane Base,WYB
Center Island Airport,CWS
Tatitlek Airport,TEK
Pine Island Airport,DUF
Stuart Island Airpark,SSW
Fort Bragg Airport,FOB
Port of Poulsbo Marina Moorage Seaplane Base,PUL
Century City Heliport,CCD
Meyers Chuck Seaplane Base,WMK
Maxson Airfield,AXB
Reese Airpark,REE
Waldron Airstrip,WDN
Whale Pass Seaplane Float Harbor Facility,WWP
Chuathbaluk Airport,CHU
Ugashik Airport,UGS
Philadelphia Seaplane Base,PSQ
Levelock Airport,KLL
Saginaw Seaplane Base,SGW
Tuntutuliak Airport,WTL
Twin Hills Airport,TWA
Chignik Lake Airport,KCQ
Adado Airport,AAD
Atkamba Airport,ABP
Angeles City Flying Club,AFC
Arica Airport,ACM
Andakombe Airport,ADC
El Daein Airport,ADV
Jebel Ali Seaplane Base,DJH
Adareil Airport,AEE
Algeciras Heliport,AEI
Aseki Airport,AEK
Ar Horqin Airport,AEQ
Khost International Airport,KHT
Orūzgān Airport,URZ
Salerno Airport,OLR
Kondavattavana Tank Seaplane Base,AFK
Afore Airstrip,AFR
Afutara Aerodrome,AFT
Ulawa Airport,RNA
Uru Harbour Airport,ATD
Barakoma Airport,VEV
Geva Airport,GEF
Angoram Airport,AGG
Gwaunaru'u Airport,AKS
Bellona/Anua Airport,BNY
Choiseul Bay Airport,CHY
Ballalae Airport,BAS
Fera/Maringe Airport,FRE
Honiara International Airport,HIR
Babanakira Airport,MBU
Avu Avu Airport,AVU
Ngorangora Airport,IRA
Santa Cruz/Graciosa Bay/Luova Airport,SCZ
Munda Airport,MUA
Nusatupe Airport,GZO
Mono Airport,MNY
Parasi Airport,PRS
Rennell/Tingoa Airport,RNL
Sege Airport,EGM
Santa Ana Airport,NNB
Marau Airport,RUS
Suavanao Airport,VAO
Yandina Airport,XYA
Kagua Airport,AGK
Kaghau Airport,KGE
Kukudu Airport,KUE
Kwailabesi Airport,KWS
Wanigela Airport,AGL
Nana Airport,NAZ
Manaoba Airport,MHM
Gatokae Aerodrome,GTA
Ringi Cove Airport,RIN
Ramata Airport,RBV
Tulaghi Heliport,TLG
Argyle Downs Airport,AGY
Hongyuan Airport,AHJ
Ambatolhy Airport,AHY
Aiome Airport,AIE
Aiambak Airport,AIH
Ailinglaplap Airok Airport,AIC
Chena Hot Springs Airport,CEX
Solomon State Field,SOL
Herendeen Bay Airport,HED
Taylor Airport,TWE
Tikchik Lodge Seaplane Base,KTH
Naukati Bay Seaplane Base,NKI
Point Lonely Short Range Radar Site Airfield,LNI
Candle 2 Airport,CDL
Amook Bay Seaplane Base,AOS
Boswell Bay Airport,BSW
Zakuoma Airport,AKM
Alitak Seaplane Base,ALZ
Mar de Cortés International Airport,PPE
Alto Molocue Airport,AME
Ama Airport,AMF
Amanab Airport,AMU
Ambatomainty Airport,AMY
Nauru International Airport,INU
Angus Downs Airport,ANZ
Catoca Airport,CTV
Andulo Airport,ANL
Cangamba Airport,CNZ
Dirico Airport,DRC
Capanda Airport,KNP
N'dalatando Airport,NDF
Annanberg Airport,AOB
Abou-Deïa Airport,AOD
Asapa Airport,APP
April River Airport,APR
Troll Airfield,QET
Girdwood-Alyeska Airport,AQY
Bragado Airport,QRF
Caleta Olivia Airport,CVI
Charata Airport,CNT
General Villegas Airport,VGS
Los Menucos Airport,LMD
Valcheta Airport,VCF
Sunchales Aeroclub Airport,NCJ
Carmen de Patagones Airport,CPG
Termal Airport,PRQ
Colonia Sarmiento Airport,OLN
Aragip Airport,ARP
Asirim Airport,ASZ
Namatanai Airport,ATN
Aitape Airport,ATP
Lady Elliot Island Airstrip,LYT
Gruyere Airport,GYZ
Karara Airport,KQR
Agnew Airport,AGW
Alroy Downs Airport,AYD
Baniyala Airport,BYX
Coolibah Airport,COB
Coorabie Airport,CRJ
Carlton Hill Airport,CRY
Cresswell Downs Airport,CSD
Diamantina Lakes Airport,DYM
Hayman Island Resort Seaplane Base,HIS
Helenvale Airport,HLV
Kimberley Downs Airport,KBD
Kulgera Airport,KGR
Camballin Airport,MYO
Orchid Beach Airport,OKB
Peppimenarti Airport,PEP
Rockhampton Downs Airport,RDA
Sturt Creek Airport,SSK
Shaw River Airport,SWB
Tom Price Airport,TPR
Torwood Airport,TWP
Springvale Airport,ZVG
Aua Island Airport,AUI
Ambunti Airport,AUJ
Agaun Airport,AUP
Aumo Airport,AUV
Alowe Airport,AWE
Alxa Left Banner Bayanhot Airport,AXF
Pantar Kabir Airport,AXO
Kompiam Airport,KPM
Buka Airport,BUA
Biaru Airport,BRP
Chimbu Airport,CMU
Munduku Airport,MDM
Kondobol Airport,KPF
Dinangat Airport,DNU
Doini Airport,DOI
Daru Airport,DAU
Embessa Airport,EMS
Edwaki Airport,XYR
Eliptamin Airport,EPT
Engati Airstrip,EGA
Emo River Airstrip,EMO
Erume Airport,ERU
Meselia Airport,MFZ
Feramin Airport,FRQ
Frieda River Airport,FAQ
Fuma Airport,FUM
Goroka Airport,GKA
Guari Airport,GUG
Garasa Airport,GRL
Gurney Airport,GUR
Gusap Airport,GAP
Girua Airport,PNP
Gasuke Airport,GBC
Habi Airport,HBD
Heiweni Airport,HNI
Honinabi Airport,HNN
Hoskins Airport,HKN
Haivaro Airport,HIT
Imane Airport,IMN
Kungim Airport,KGM
Imonda Airport,IMD
Aropa Airport,KIE
Ialibu Airport,IAL
Witu Airport,WIU
Yongai Airport,KGH
Losuia Airport,LSA
Kopiago Airport,KPA
Kiunga Airport,UNG
Kanainj Airport,KNE
Kikori Airport,KRI
Kerema Airport,KMA
Kar Kar Airport,KRX
Kuri Airport,KUQ
Kavieng Airport,KVG
Londolovit Airport,LNV
Lab Lab Airport,LAB
Lowai Airport,LWI
Leron Plains Airport,LPN
Lese Airport,LNG
Long Island Airport,LSJ
Yas Island Seaplane Base,AYM
Manari Airport,MRM
Morobe Airport,OBM
Madang Airport,MAG
Mount Hagen Kagamuga Airport,HGU
Mougulu Airport,GUV
Mendi Airport,MDU
Momote Airport,MAS
Moro Airport,MXH
Misima Island Airport,MIS
Marawaka Airport,MWG
Nankina Airport,NKN
Negarbo(Negabo) Airport,GBF
Manguna Airport,MFO
Kasonombe Airport,KSB
Nomane Airport,NMN
Nambaiyufa Airport,NBA
Nadzab Airport,LAE
Konge Airport,KGB
Oksapmin Airport,OKP
Komako Airport,HOC
Komaio Airport,KCJ
Koroba Airport,KDE
Open Bay Airport,OPB
Pangoa Airport,PGB
Pangia Airport,PGN
Mapoda Airport,MPF
Pumani Airport,PMN
Port Moresby Jacksons International Airport,POM
Sopu Airport,SPH
Sialum Airport,SXA
Rumginae Airport,RMN
Karimui Airport,KMR
Maramuni Airport,MWI
May River Airstrip,MRH
Suabi Airport,SBE
Simberi Airport,NIS
Sila Airport,SIL
Sabah Airport,SBV
Simbai Airport,SIM
Selbang Airport,SBC
Sepik Plains Airport,SPV
Sauren Airport,SXW
Masa Airport,MBV
Tari Airport,TIZ
Tabubil Airport,TBG
Tapini Airport,TPI
Tokua Airport,RAB
Tekin Airport,TKW
Tep Tep Airport,TEP
Tsewi Airport,TSW
Tarakbits Airport,TRJ
Tawa Airport,TWY
Tekadu Airport,TKB
Aiyura Airport,AYU
Umba Airport,UMC
Uroubi Airport,URU
Upiara Airport,UPR
Uvol Airport,UVO
Talasea Airport,TLW
Torembi Airport,TCJ
Vanimo Airport,VAI
Tonu Airport,TON
Wabo Airport,WAO
Wapenamanda Airport,WBM
Wawoi Falls Airport,WAJ
Wewak International Airport,WWK
Wonenara Airport,WOA
Wakunai Airport,WKN
Wasu Airport,WSU
Woitape Airport,WTP
Wau Airport,WUG
Yeva Airport,YVD
Sim Airport,SMJ
Weam Airport,WEP
Arugam Bay SPB,AYY
Yalumet Airport,KYX
Yasuru Airport,KSX
Wasum Airport,WUM
Zabrat Airport,ZXT
Fuzuli International Airport,FZL
Lava Falls Heliport,HAE
Amazon Bay Airport,AZB
Zhenjiang Dalu Airport,AZJ
Bali Airport,BAJ
Bambu Airport,BCP
Benguera Island Airport,BCW
Milyakburra Airport,BCZ
Willmar Municipal Airport John L Rice Field (2006),ILL
Baindoung Airport,BDZ
Malevo Airfield,HKV
Bezmer Air Base,JAM
Aasiaat Airport,JEG
Aappilattoq Heliport,AOQ
Tasiilaq Heliport,AGM
Attu Heliport,QGQ
Narsarsuaq Airport,UAK
Qasigiannguit Heliport,JCH
Neerlerit Inaat Airport,CNP
Eqalugaarsuit Heliport,QFG
Nuuk Airport,GOH
Qeqertarsuaq Heliport,JGO
Ikerasak Heliport,IKE
Iginniarfik Heliport,QFI
Ikerassaarsuk Heliport,QRY
Ilimanaq Heliport,XIQ
Innarsuit Heliport,IUI
Isortoq Heliport,IOQ
Ikamiut Heliport,QJI
Qaqortoq Heliport,JJU
Ilulissat Airport,JAV
Kangaatsiaq Heliport,QPW
Kulusuk Airport,KUS
Kuummiut Heliport,KUZ
Kullorsuaq Heliport,KHQ
Kangersuatsiaq Heliport,KGQ
Kitsissuarsuit Heliport,QJE
Illorsuit Heliport,IOT
Maniitsoq Airport,JSU
Nanortalik Heliport,JNN
Nuugaatsiaq Heliport,JUU
Narsaq Heliport,JNS
Niaqornat Heliport,NIQ
Nuussuaq Heliport,NSQ
Paamiut Airport,JFR
Qeqertaq Heliport,PQT
Qaanaaq Airport,NAQ
Ittoqqortoormiit Heliport,OBY
Kangerlussuaq Airport,SFJ
Siorapaluk Heliport,SRK
Saarloq Heliport,QOQ
Sisimiut Airport,JHS
Saattut Heliport,SAE
Savissivik Heliport,SVR
Tasiusaq Heliport,TQA
Thule Air Base,THU
Tiniteqilaaq Heliport,TQI
Upernavik Airport,JUV
Uummannaq Heliport,UMD
Qaarsut Airport,JQA
Ukkusissat Heliport,JUK
Bahía de los Ángeles Airport,BHL
Brighton Downs Airport,BHT
Akureyri Airport,AEY
Bildudalur Airport,BIU
Borgarfjörður eystri Airport,BGJ
Bakkafjörður Airport,BJD
Hjaltabakki Airport,BLO
Búðardalur Airport,BQD
Breiðdalsvík Airport,BXV
Djúpivogur Airport,DJU
Egilsstaðir Airport,EGS
Fáskrúðsfjörður Airport,FAS
Fagurhólsmýri Airport,FAG
Grundarfjörður Airport,GUU
Gjögur Airport,GJR
Grímsey Airport,GRY
Hólmavík Airport,HVK
Hornafjörður Airport,HFN
Holt Airport,FLI
Húsavík Airport,HZK
Krókstaðarmelar Airport,HVM
Ingjaldssanður Airport,HLO
Ísafjörður Airport,IFJ
Keflavik International Airport,KEF
Kópasker Airport,OPA
Sauðárkrókur Airport,SAK
Norðfjörður Airport,NOR
Ólafsfjörður Airport,OFJ
Patreksfjörður Airport,PFJ
Reykhólar Airport,RHA
Rif Airport,OLI
Raufarhöfn Airport,RFN
Reykjavik Airport,RKV
Reykjahlíð Airport,MVA
Siglufjörður Airport,SIJ
Stykkishólmur Airport,SYK
Þingeyri Airport,TEY
Þórshöfn Airport,THO
Vestmannaeyjar Airport,VEY
Vopnafjörður Airport,VPN
Baleela Airport,BJE
Bahja Airport,BJQ
Bentota River Waterdrome,BJT
Priština Adem Jashari International Airport,PRN
Bomai Airport,BMH
Bamburi Airport,BMQ
Bamu Airport,BMZ
Baranof Warm Springs Float and Seaplane Base,BNF
Bodinumu Airport,BNM
Bundi Airport,BNT
Rurrenabaque Airport,RBQ
Baures Airport,BVL
Bolling Air Force Base,BOF
Brookings Airport,BOK
Bosset Airport,BOT
Boang Airport,BOV
Batuna Aerodrome,BPF
Bartlett Cove Seaplane Base,BQV
Pedro Vieira Moreira Airport,CJZ
Glauber de Andrade Rocha Airport,VDC
Alenquer Municipal Airport,ALT
Bimini North Seaplane Base,NSB
Bensbach Airport,BSP
Besakoa Airport,BSV
Betong International Airport,BTZ
Bulolo Airport,BUL
Esperadinha Airport,BVR
Hukuntsi Airport,HUK
Bawan Airport,BWJ
Bewani Airport,BWP
Blue Lagoon Seaplane Base,BXL
Bunsil Airport,BXZ
Orsha Airport - Balbasovo Air Base,TXC
Boundary Airport,BYA
Bella Yella Airport,BYL
